vehicle_id,title,description,rodzaj,make,model,year,link,image_link,exterior_color,additional_image_link,trim,offer_disclaimer,offer_disclaimer_url,price,offer_type,term_length,offer_term_qualifier,amount_price,amount_percentage,amount_qualifier,downpayment,downpayment_qualifier,emission_disclaimer,emission_disclaimer_url,emission_overlay_disclaimer,emission_image_link,fuel_type
PEU-0AAC-5936-EB46-133,Peugeot Boxer Base · od 175152 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 140 KM HD · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE6YHOKKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0ME00N1X&back=0,FLOTTE ROUGE TIZIANO,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,175152 PLN,CASH,,,175152 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-9706-133,Peugeot Boxer Base · od 175152 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 140 KM HD · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE5KHOKKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0ME00NHS&back=0,FLOTTE ORANGE RAL 2011,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,175152 PLN,CASH,,,175152 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-CE15-505,Peugeot Boxer Base · od 186099 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM HD · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MM00NE9&back=0,Czarny Graphito,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,186099 PLN,CASH,,,186099 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-4C51-505,Peugeot Boxer Base · od 186099 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM HD · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MM00NZW&back=0,Szary Iron,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,186099 PLN,CASH,,,186099 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-7185-505,Peugeot Boxer Base · od 186099 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM HD · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MM00NF4&back=0,Szary Artense / Steel,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,186099 PLN,CASH,,,186099 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-4191-505,Peugeot Boxer Base · od 186099 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM HD · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MP00NPR&back=0,Biały Icy,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,186099 PLN,CASH,,,186099 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-84BB-505,Peugeot Boxer Base · od 186099 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM HD · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MP00N2B&back=0,Szary Lanzarote / Thunder,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,186099 PLN,CASH,,,186099 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-297C-505,Peugeot Boxer Base · od 186099 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM HD · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MP00N4K&back=0,Szary Expedition,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,186099 PLN,CASH,,,186099 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-EB46-505,Peugeot Boxer Base · od 186099 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM HD · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE6YHOKKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0ME00N1X&back=0,FLOTTE ROUGE TIZIANO,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,186099 PLN,CASH,,,186099 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-9706-505,Peugeot Boxer Base · od 186099 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM HD · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE5KHOKKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0ME00NHS&back=0,FLOTTE ORANGE RAL 2011,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,186099 PLN,CASH,,,186099 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-CE15-EE8,Peugeot Boxer Base · od 188559 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MM00NE9&back=0,Czarny Graphito,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,188559 PLN,CASH,,,188559 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-4C51-EE8,Peugeot Boxer Base · od 188559 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MM00NZW&back=0,Szary Iron,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,188559 PLN,CASH,,,188559 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-7185-EE8,Peugeot Boxer Base · od 188559 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MM00NF4&back=0,Szary Artense / Steel,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,188559 PLN,CASH,,,188559 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-4191-EE8,Peugeot Boxer Base · od 188559 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MP00NPR&back=0,Biały Icy,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,188559 PLN,CASH,,,188559 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-84BB-EE8,Peugeot Boxer Base · od 188559 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MP00N2B&back=0,Szary Lanzarote / Thunder,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,188559 PLN,CASH,,,188559 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-297C-EE8,Peugeot Boxer Base · od 188559 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE3DHOGKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0MP00N4K&back=0,Szary Expedition,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,188559 PLN,CASH,,,188559 PLN,,Total,,,,,,,Diesel
PEU-0AAC-5936-EB46-EE8,Peugeot Boxer Base · od 188559 PLN,Nowy Peugeot Boxer Base · Diesel 2.2 180 KM · Sprawdź ofertę!,modelowy,Peugeot,Peugeot Boxer,2025,https://www.peugeot.pl/modele/boxer.html,https://visual3d-secure.peugeot.com/V3DImage.ashx?client=CFGAP3D&mkt=PL&env=PROD&version=2PXE6YHOKKB0A014&ratio=1&format=jpg&quality=90&width=1280&view=001&color=0ME00N1X&back=0,FLOTTE ROUGE TIZIANO,,Base,Oferta ma charakter informacyjny. Szczegóły u autoryzowanego dealera Peugeot.,https://www.peugeot.pl/modele/boxer.html,188559 PLN,CASH,,,188559 PLN,,Total,,,,,,,Diesel
